match_id,date,team_a,team_b,bookmaker,odds_team_a,odds_draw,odds_team_b,market_type,source_timestamp,over_under_line,odds_over,odds_under,spread,hours_before_kickoff,implied_prob_team_a,implied_prob_draw,implied_prob_team_b,world_cup_year,penka_phase,archive_stage,source_name,source_url,source_file,value_type,confidence,notes
2014001,2014-06-12,Brazil,Croatia,betexplorer_archive_average,1.31,5.11,11.98,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014002,2014-06-13,Chile,Australia,betexplorer_archive_average,1.43,4.37,8.47,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014003,2014-06-13,Mexico,Cameroon,betexplorer_archive_average,2.18,3.12,3.78,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014004,2014-06-13,Spain,Netherlands,betexplorer_archive_average,1.84,3.35,4.97,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014005,2014-06-14,Colombia,Greece,betexplorer_archive_average,1.85,3.23,5.12,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014006,2014-06-14,England,Italy,betexplorer_archive_average,2.49,2.98,3.24,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014007,2014-06-14,Ivory Coast,Japan,betexplorer_archive_average,2.7,3.32,2.67,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014008,2014-06-14,Uruguay,Costa Rica,betexplorer_archive_average,1.45,4.11,8.74,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014009,2014-06-15,Argentina,Bosnia and Herzegovina,betexplorer_archive_average,1.3,5.62,10.58,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014010,2014-06-15,France,Honduras,betexplorer_archive_average,1.26,5.96,11.98,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014011,2014-06-15,Switzerland,Ecuador,betexplorer_archive_average,2.39,3.22,3.15,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014012,2014-06-16,Germany,Portugal,betexplorer_archive_average,2.09,3.47,3.62,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014013,2014-06-16,Ghana,United States,betexplorer_archive_average,2.4,3.38,2.99,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014014,2014-06-16,Iran,Nigeria,betexplorer_archive_average,4.68,3.45,1.84,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014015,2014-06-17,Belgium,Algeria,betexplorer_archive_average,1.34,5.09,9.55,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014016,2014-06-17,Brazil,Mexico,betexplorer_archive_average,1.34,5.24,9.08,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014017,2014-06-17,Russia,South Korea,betexplorer_archive_average,1.83,3.55,4.52,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014018,2014-06-18,Australia,Netherlands,betexplorer_archive_average,12.85,6.58,1.23,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014019,2014-06-18,Cameroon,Croatia,betexplorer_archive_average,5.45,3.91,1.64,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014020,2014-06-18,Spain,Chile,betexplorer_archive_average,1.57,4.4,5.46,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014021,2014-06-19,Colombia,Ivory Coast,betexplorer_archive_average,2.02,3.49,3.77,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014022,2014-06-19,Japan,Greece,betexplorer_archive_average,2.4,3.31,3.03,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014023,2014-06-19,Uruguay,England,betexplorer_archive_average,3.77,3.74,1.95,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014024,2014-06-20,Honduras,Ecuador,betexplorer_archive_average,5.73,4.15,1.59,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014025,2014-06-20,Italy,Costa Rica,betexplorer_archive_average,1.58,3.97,6.33,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014026,2014-06-20,Switzerland,France,betexplorer_archive_average,4.52,3.49,1.86,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014027,2014-06-21,Argentina,Iran,betexplorer_archive_average,1.14,8.32,20.0,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014028,2014-06-21,Germany,Ghana,betexplorer_archive_average,1.33,5.44,8.98,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014029,2014-06-21,Nigeria,Bosnia and Herzegovina,betexplorer_archive_average,4.28,3.57,1.88,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014030,2014-06-22,Belgium,Russia,betexplorer_archive_average,2.22,3.3,3.42,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014031,2014-06-22,South Korea,Algeria,betexplorer_archive_average,2.49,3.27,2.93,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014032,2014-06-22,United States,Portugal,betexplorer_archive_average,4.55,4.01,1.74,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014033,2014-06-23,Australia,Spain,betexplorer_archive_average,7.96,5.15,1.38,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014034,2014-06-23,Brazil,Cameroon,betexplorer_archive_average,1.12,9.59,21.05,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014035,2014-06-23,Croatia,Mexico,betexplorer_archive_average,2.7,3.4,2.6,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014036,2014-06-23,Netherlands,Chile,betexplorer_archive_average,2.67,3.44,2.61,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014037,2014-06-24,Costa Rica,England,betexplorer_archive_average,4.38,3.93,1.77,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014038,2014-06-24,Greece,Ivory Coast,betexplorer_archive_average,3.94,3.57,1.96,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014039,2014-06-24,Italy,Uruguay,betexplorer_archive_average,2.52,3.43,2.79,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014040,2014-06-24,Japan,Colombia,betexplorer_archive_average,3.36,3.67,2.09,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014041,2014-06-25,Bosnia and Herzegovina,Iran,betexplorer_archive_average,2.22,3.48,3.23,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014042,2014-06-25,Ecuador,France,betexplorer_archive_average,5.57,4.06,1.61,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014043,2014-06-25,Honduras,Switzerland,betexplorer_archive_average,6.97,4.37,1.49,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014044,2014-06-25,Nigeria,Argentina,betexplorer_archive_average,9.14,4.18,1.43,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014045,2014-06-26,Algeria,Russia,betexplorer_archive_average,3.61,3.64,2.02,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014046,2014-06-26,South Korea,Belgium,betexplorer_archive_average,4.52,3.51,1.85,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014047,2014-06-26,Portugal,Ghana,betexplorer_archive_average,1.77,4.78,3.68,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014048,2014-06-26,United States,Germany,betexplorer_archive_average,7.94,3.03,1.68,1x2,,,,,,,,,,2014,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014049,2014-06-28,Brazil,Chile,betexplorer_archive_average,1.51,4.38,6.33,1x2,,,,,,,,,,2014,round_of_16,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014050,2014-06-28,Colombia,Uruguay,betexplorer_archive_average,2.15,3.31,3.63,1x2,,,,,,,,,,2014,round_of_16,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014051,2014-06-29,Costa Rica,Greece,betexplorer_archive_average,2.67,3.06,2.89,1x2,,,,,,,,,,2014,round_of_16,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014052,2014-06-29,Netherlands,Mexico,betexplorer_archive_average,2.15,3.29,3.64,1x2,,,,,,,,,,2014,round_of_16,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014053,2014-06-30,France,Nigeria,betexplorer_archive_average,1.4,4.65,8.56,1x2,,,,,,,,,,2014,round_of_16,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014054,2014-06-30,Germany,Algeria,betexplorer_archive_average,1.31,5.48,10.02,1x2,,,,,,,,,,2014,round_of_16,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014055,2014-07-01,Argentina,Switzerland,betexplorer_archive_average,1.57,4.06,6.27,1x2,,,,,,,,,,2014,round_of_16,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014056,2014-07-01,Belgium,United States,betexplorer_archive_average,2.01,3.36,4.01,1x2,,,,,,,,,,2014,round_of_16,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014057,2014-07-04,Brazil,Colombia,betexplorer_archive_average,1.76,3.75,4.78,1x2,,,,,,,,,,2014,quarter_final,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014058,2014-07-04,France,Germany,betexplorer_archive_average,2.78,3.08,2.79,1x2,,,,,,,,,,2014,quarter_final,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014059,2014-07-05,Argentina,Belgium,betexplorer_archive_average,1.98,3.35,4.17,1x2,,,,,,,,,,2014,quarter_final,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014060,2014-07-05,Netherlands,Costa Rica,betexplorer_archive_average,1.52,4.09,7.11,1x2,,,,,,,,,,2014,quarter_final,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014061,2014-07-08,Brazil,Germany,betexplorer_archive_average,2.61,3.15,2.93,1x2,,,,,,,,,,2014,semi_final,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014062,2014-07-09,Netherlands,Argentina,betexplorer_archive_average,3.04,3.21,2.5,1x2,,,,,,,,,,2014,semi_final,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014063,2014-07-12,Brazil,Netherlands,betexplorer_archive_average,2.17,3.7,3.27,1x2,,,,,,,,,,2014,third_place,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2014064,2014-07-13,Germany,Argentina,betexplorer_archive_average,2.37,3.23,3.28,1x2,,,,,,,,,,2014,final,knockout,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2014/results/,results_2014_betexplorer_playoffs.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018001,2018-06-14,Russia,Saudi Arabia,betexplorer_archive_average,1.45,4.33,9.08,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018002,2018-06-15,Egypt,Uruguay,betexplorer_archive_average,8.4,4.1,1.5,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018003,2018-06-15,Morocco,Iran,betexplorer_archive_average,2.21,2.96,4.15,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018004,2018-06-15,Portugal,Spain,betexplorer_archive_average,4.35,3.25,2.03,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018005,2018-06-16,France,Australia,betexplorer_archive_average,1.26,6.94,10.88,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018006,2018-06-16,Argentina,Iceland,betexplorer_archive_average,1.33,5.33,10.92,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018007,2018-06-16,Peru,Denmark,betexplorer_archive_average,3.71,3.08,2.29,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018008,2018-06-16,Croatia,Nigeria,betexplorer_archive_average,1.68,3.74,5.98,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018009,2018-06-17,Costa Rica,Serbia,betexplorer_archive_average,5.25,3.41,1.83,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018010,2018-06-17,Germany,Mexico,betexplorer_archive_average,1.48,4.5,7.41,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018011,2018-06-17,Brazil,Switzerland,betexplorer_archive_average,1.47,4.34,8.36,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018012,2018-06-18,Sweden,South Korea,betexplorer_archive_average,2.27,3.03,3.86,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018013,2018-06-18,Belgium,Panama,betexplorer_archive_average,1.21,6.78,18.21,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018014,2018-06-18,Tunisia,England,betexplorer_archive_average,8.62,4.18,1.48,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018015,2018-06-19,Colombia,Japan,betexplorer_archive_average,1.87,3.34,5.1,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
2018016,2018-06-19,Poland,Senegal,betexplorer_archive_average,2.49,3.05,3.31,1x2,,,,,,,,,,2018,group,group_stage,BetExplorer / OddsPortal archive average,https://www.betexplorer.com/football/world/world-cup-2018/results/,results_2018_betexplorer_main.html,archive_average,medium,Cached public archive result page; source timestamp and kickoff-relative timestamp unavailable and left blank.
